datetime,latitude,longitude,altitude_km
2025-04-15T12:46:36.897599+00:00,50.446253232167955,-29.097654419983208,415.12643360935635
2025-04-15T12:47:36.897599+00:00,51.15420100108779,-23.053660419694673,415.1635264391425
2025-04-15T12:48:36.897599+00:00,51.54204898054583,-16.864804623309098,415.25852042208317
2025-04-15T12:49:36.897599+00:00,51.5998999966452,-10.615384794308985,415.41127127661275
2025-04-15T12:50:36.897599+00:00,51.326284676514526,-4.395861808735095,415.6211168379896
2025-04-15T12:51:36.897599+00:00,50.72834487726807,1.7063654072116923,415.88687952979853
2025-04-15T12:52:36.897599+00:00,49.8209665120524,7.615445954718965,416.2068759261756
2025-04-15T12:53:36.897599+00:00,48.62509697981314,13.27293026212893,416.57893327678994
2025-04-15T12:54:36.897599+00:00,47.16566096360437,18.640143413338517,417.0004127463126
2025-04-15T12:55:36.897599+00:00,45.46949938371321,23.697391318926737,417.4682390050757
2025-04-15T12:56:36.897599+00:00,43.5636366131468,28.441043239229156,417.97893569922417
2025-04-15T12:57:36.897599+00:00,41.474016338032094,32.87968289816244,418.5286662292283
2025-04-15T12:58:36.897599+00:00,39.224708762428605,37.03026485610406,419.1132791773016
2025-04-15T12:59:36.897599+00:00,36.83751130095119,40.91482169945018,419.7283576478867
2025-04-15T13:00:36.897599+00:00,34.331836943003154,44.557928201681925,420.36927172337255
2025-04-15T13:01:36.897599+00:00,31.7247900483197,47.98491015838086,421.0312331893874
2025-04-15T13:02:36.897599+00:00,29.031349875884363,51.220679780522396,421.7093516522973
2025-04-15T13:03:36.897599+00:00,26.264605438944116,54.28904967320721,422.3986911556676
2025-04-15T13:04:36.897599+00:00,23.436005369429427,57.21238788550225,423.09432640262094
2025-04-15T13:05:36.897599+00:00,20.555601549213616,60.011502783109464,423.7913977075186
2025-04-15T13:06:36.897599+00:00,17.63227558704104,62.705675024647086,424.4851638319842
2025-04-15T13:07:36.897599+00:00,14.673943803390749,65.3127787218579,425.17105190703114
2025-04-15T13:08:36.897599+00:00,11.687740322133507,67.8494531872133,425.84470370311647
2025-04-15T13:09:36.897599+00:00,8.680180062103876,70.33130076288538,426.5020175827285
2025-04-15T13:10:36.897599+00:00,5.657304536965847,72.77309604235812,427.1391855535812
2025-04-15T13:11:36.897599+00:00,2.6248138596859634,75.18899839689382,427.7527249334353
2025-04-15T13:12:36.897599+00:00,-0.41181149942133866,77.59276400879253,428.33950423780516
2025-04-15T13:13:36.897599+00:00,-3.447195653938789,79.99795627711336,428.89676300769224
2025-04-15T13:14:36.897599+00:00,-6.475955444366316,82.41815497148616,429.4221254038812
2025-04-15T13:15:36.897599+00:00,-9.49258832507728,84.86716515375501,429.9136075054339
2025-04-15T13:16:36.897599+00:00,-12.491356543231346,87.35922679555476,430.36961836051614
2025-04-15T13:17:36.897599+00:00,-15.466164133019284,89.90922517907921,430.7889549458969
2025-04-15T13:18:36.897599+00:00,-18.41042322459876,92.5329004205383,431.17079129552894
2025-04-15T13:19:36.897599+00:00,-21.316906210782125,95.2470514837934,431.51466215643813
2025-04-15T13:20:36.897599+00:00,-24.17758054548755,98.06972535305205,431.82044162060174
2025-04-15T13:21:36.897599+00:00,-26.98342356491349,101.02037489781524,432.0883172625754
2025-04-15T13:22:36.897599+00:00,-29.724216041327676,104.11995847995401,432.3187603833576
2025-04-15T13:23:36.897599+00:00,-32.388315681177765,107.3909395117295,432.5124930205193
2025-04-15T13:24:36.897599+00:00,-34.96241615602731,110.85712417567873,432.67045243110624
2025-04-15T13:25:36.897599+00:00,-37.431304423545,114.54325049625524,432.79375378791974
2025-04-15T13:26:36.897599+00:00,-39.77764010814936,118.47421439614583,432.8836518499438
2025-04-15T13:27:36.897599+00:00,-41.98179642500886,122.67379551566404,432.9415023743286
2025-04-15T13:28:36.897599+00:00,-44.02182243779608,127.16274269316959,432.9687240300718
2025-04-15T13:29:36.897599+00:00,-45.87360883263181,131.9561222518181,432.9667615531862
2025-04-15T13:30:36.897599+00:00,-47.51135691700107,137.05995714681347,432.93705084924204
2025-04-15T13:31:36.897599+00:00,-48.90845002927974,142.46742327584994,432.8809867034606
2025-04-15T13:32:36.897599+00:00,-50.038789447582644,148.1552159259454,432.79989370086605
2025-04-15T13:33:36.897599+00:00,-50.878566738026024,154.08106469295123,432.69500089134453
2025-04-15T13:34:36.897599+00:00,-51.40830283151873,160.18355665767962,432.5674206570093
2025-04-15T13:35:36.897599+00:00,-51.614828649353505,166.38517031601336,432.418132154472
2025-04-15T13:36:36.897599+00:00,-51.49278774523888,172.59860818359124,432.24796961291304
2025-04-15T13:37:36.897599+00:00,-51.045285121417564,178.73537392486818,432.05761567269656
2025-04-15T13:38:36.897599+00:00,-50.283506141417334,-175.28536318559892,431.8475998494732
2025-04-15T13:39:36.897599+00:00,-49.22541016217664,-169.5296955031407,431.61830210796506
2025-04-15T13:40:36.897599+00:00,-47.893835539464206,-164.045037907277,431.36996142856333
2025-04-15T13:41:36.897599+00:00,-46.314439595586045,-158.85952247419337,431.1026891513111
2025-04-15T13:42:36.897599+00:00,-44.51383315044763,-153.98398700701642,430.81648678663714
2025-04-15T13:43:36.897599+00:00,-42.518121642530566,-149.4154136224199,430.51126789264345
2025-04-15T13:44:36.897599+00:00,-40.35191419173919,-145.14076284665254,430.18688353608013
2025-04-15T13:45:36.897599+00:00,-38.037756857949496,-141.14048948489122,429.8431507799787
2025-04-15T13:46:36.897599+00:00,-35.59589643576986,-137.39139137370893,429.47988357677605
2025-04-15T13:47:36.897599+00:00,-33.044272835833446,-133.8687119899148,429.0969253924932
2025-04-15T13:48:36.897599+00:00,-30.398652390248078,-130.54757032519916,428.6941828466206
2025-04-15T13:49:36.897599+00:00,-27.672836415349696,-127.40385254018811,428.27165962447907
2025-04-15T13:50:36.897599+00:00,-24.87890059492097,-124.41470617533686,427.8294899043467
2025-04-15T13:51:36.897599+00:00,-22.02743774368794,-121.55875821320996,427.3679705416944
2025-04-15T13:52:36.897599+00:00,-19.12778869917477,-118.81615100037664,426.88759126656714
2025-04-15T13:53:36.897599+00:00,-16.188254170039542,-116.1684639630875,426.3890621787705
2025-04-15T13:54:36.897599+00:00,-13.21628538625704,-113.59856765210449,425.8733378671013
2025-04-15T13:55:36.897599+00:00,-10.21865431833123,-111.0904405086188,425.34163753462326
2025-04-15T13:56:36.897599+00:00,-7.201605811356409,-108.62896720898453,424.79546057935477
2025-04-15T13:57:36.897599+00:00,-4.170994747705732,-106.19972952418304,424.23659715895155
2025-04-15T13:58:36.897599+00:00,-1.1324116639593336,-103.7887953684608,423.66713335698114
2025-04-15T13:59:36.897599+00:00,1.9086996711742767,-101.38250834475826,423.0894506659497
2025-04-15T14:00:36.897599+00:00,4.946929223401429,-98.96727806784587,422.5062196064973
2025-04-15T14:01:36.897599+00:00,7.976788736110946,-96.52937049761039,421.9203874114846
2025-04-15T14:02:36.897599+00:00,10.992597384816424,-94.05469724918086,421.3351598158142
2025-04-15T14:03:36.897599+00:00,13.988361545083244,-91.52860331617217,420.7539771057218
2025-04-15T14:04:36.897599+00:00,16.95764512717236,-88.93565394452905,420.1804846929708
2025-04-15T14:05:36.897599+00:00,19.89342691404132,-86.25942377822722,419.6184985874406
2025-04-15T14:06:36.897599+00:00,22.78794144981266,-83.48229529405778,419.0719662443189
2025-04-15T14:07:36.897599+00:00,25.6325004258912,-80.5852795886855,418.5449233567015
2025-04-15T14:08:36.897599+00:00,28.417292466540154,-77.54788163750132,418.0414472501334
2025-04-15T14:09:36.897599+00:00,31.131161138606494,-74.34804524859028,417.5656076092364
2025-04-15T14:10:36.897599+00:00,33.7613645160926,-70.96223110143319,417.1214153279807
2025-04-15T14:11:36.897599+00:00,36.29332557324286,-67.3657049616214,416.7127703218657
2025-04-15T14:12:36.897599+00:00,38.71039212327345,-63.533141221407085,416.3434091719546
2025-04-15T14:13:36.897599+00:00,40.99363903182195,-59.43967447423174,416.0168534863142
2025-04-15T14:14:36.897599+00:00,43.12176451917847,-55.06254724037427,415.73635986341833
2025-04-15T14:15:36.897599+00:00,45.07115528977858,-50.383483217574444,415.5048723246773
2025-04-15T14:16:36.897599+00:00,46.816217101948546,-45.391828871552285,415.32497804929335
